month,ops,share_ops_1m,share_ops_1_25m,share_ops_top2_tickets,share_usd_top2_tickets,distinct_ticket_count
2024-05-01,13,0.07692307692307693,0.0,0.07692307692307693,0.15375153751537515,13
2024-06-01,11,0.0,0.18181818181818182,0.18181818181818182,0.4330504070673826,7
2024-07-01,3,0.0,0.0,0.0,0.0,3
2024-08-01,6,0.0,0.0,0.0,0.0,6
2024-09-01,2,0.0,0.0,0.0,0.0,2
2024-10-01,4,0.0,0.0,0.0,0.0,4
2024-11-01,5,0.0,0.0,0.0,0.0,4
2024-12-01,2,0.0,0.0,0.0,0.0,2
2025-01-01,5,0.2,0.0,0.2,0.3544842254519674,5
2025-02-01,7,0.0,0.0,0.0,0.0,6
2025-03-01,7,0.14285714285714285,0.0,0.14285714285714285,0.1899335232668566,6
2025-04-01,7,0.14285714285714285,0.0,0.14285714285714285,0.2767783005812344,6
2025-05-01,17,0.17647058823529413,0.0,0.17647058823529413,0.3606159588876074,9
2025-06-01,13,0.15384615384615385,0.0,0.15384615384615385,0.31974635825964404,8
2025-07-01,15,0.2,0.4,0.6,0.6746771188074279,8
2025-08-01,24,0.25,0.25,0.5,0.700979338389437,13
2025-09-01,24,0.041666666666666664,0.25,0.2916666666666667,0.7507032678739426,16
2025-10-01,33,0.18181818181818182,0.24242424242424243,0.42424242424242425,0.6457300071321121,18
2025-11-01,26,0.2692307692307692,0.15384615384615385,0.4230769230769231,0.5947860029997258,14
2025-12-01,24,0.4583333333333333,0.2916666666666667,0.75,0.8679874567664402,6
2026-01-01,37,0.6216216216216216,0.1891891891891892,0.8108108108108109,0.9079210752073206,9
